"","Lon","Lat","2020-03-01 05:00:00","2020-03-01 06:00:00","2020-03-01 07:00:00","2020-03-01 08:00:00","2020-03-01 09:00:00","2020-03-01 10:00:00","2020-03-01 11:00:00","2020-03-01 12:00:00","2020-03-01 13:00:00","2020-03-01 14:00:00","2020-03-01 15:00:00","2020-03-01 16:00:00","2020-03-01 17:00:00","2020-03-01 18:00:00","2020-03-01 19:00:00","2020-03-01 20:00:00","2020-03-01 21:00:00","2020-03-01 22:00:00","2020-03-01 23:00:00","2020-03-02 00:00:00","2020-03-02 01:00:00","2020-03-02 02:00:00","2020-03-02 03:00:00","2020-03-02 04:00:00","2020-03-02 05:00:00","2020-03-02 06:00:00","2020-03-02 07:00:00","2020-03-02 08:00:00","2020-03-02 09:00:00","2020-03-02 10:00:00","2020-03-02 11:00:00","2020-03-02 12:00:00","2020-03-02 13:00:00","2020-03-02 14:00:00","2020-03-02 15:00:00","2020-03-02 16:00:00","2020-03-02 17:00:00","2020-03-02 18:00:00","2020-03-02 19:00:00","2020-03-02 20:00:00","2020-03-02 21:00:00","2020-03-02 22:00:00","2020-03-02 23:00:00","2020-03-03 00:00:00","2020-03-03 01:00:00","2020-03-03 02:00:00","2020-03-03 03:00:00","2020-03-03 04:00:00","2020-03-03 05:00:00","2020-03-03 06:00:00","2020-03-03 07:00:00","2020-03-03 08:00:00","2020-03-03 09:00:00","2020-03-03 10:00:00","2020-03-03 11:00:00","2020-03-03 12:00:00","2020-03-03 13:00:00","2020-03-03 14:00:00","2020-03-03 15:00:00","2020-03-03 16:00:00","2020-03-03 17:00:00","2020-03-03 18:00:00","2020-03-03 19:00:00","2020-03-03 20:00:00","2020-03-03 21:00:00","2020-03-03 22:00:00","2020-03-03 23:00:00"
"16",-81.03457,35.52752,5.632501,9.816243,8.32346,6.59357,7.271414,8.637585,10.77755,6.575607,6.022557,6.737987,7.91856,7.846554,7.884573,8.35216,7.864602,7.139064,7.078652,6.970436,6.828227,6.919839,6.957799,6.727312,6.873684,7.743441,8.301264,10.2097,10.75997,9.830263,9.900798,9.610461,9.53019,10.27648,11.16296,10.95723,11.11827,10.25023,9.980509,9.438397,9.701134,10.42943,10.42953,10.03818,9.115059,9.51874,9.190212,8.499008,7.616892,6.682342,6.383127,7.579379,8.223002,8.266879,8.452653,8.441362,8.889048,8.59738,8.718331,18.3524,10.78466,9.778666,8.872771,7.474886,NA,NA,2.694882,2.496776,2.045737
"17",-80.88912,35.80326,5.878373,5.737801,8.389471,7.432418,11.0165,12.34525,8.123873,8.747641,8.812943,10.44729,12.66774,10.63136,10.75893,11.33665,8.855542,8.091153,7.349267,7.300929,6.857574,6.68986,13.45068,7.310452,7.112109,10.27436,13.31277,9.557423,8.914778,9.500881,10.19373,10.70405,11.09845,11.25455,13.14374,12.81516,12.20549,11.89691,12.06722,12.03054,11.69983,12.80376,12.49698,11.54601,9.963841,9.466889,9.718524,9.371864,8.857831,7.855345,7.307935,7.258519,7.665861,8.720422,9.604532,10.11043,10.32544,10.45773,10.87953,10.88712,10.83524,12.21649,10.89909,7.587,6.087063,5.841794,4.679025,4.059306,3.319618
"18",-80.855,35.379,6.700365,6.476497,7.455042,7.219601,7.955078,7.50644,8.177487,11.85189,12.65782,10.55728,9.605799,11.21068,13.41966,10.23049,9.57932,8.575212,7.367108,8.046524,13.05829,7.281326,7.242374,7.344079,7.290189,7.313658,7.781226,9.238262,10.0693,9.223406,9.71343,9.562847,10.36682,11.42937,10.63084,10.17544,9.781075,9.776057,9.874109,9.525365,11.02787,11.4595,12.66194,12.2642,10.36839,10.36297,14.11195,11.95379,9.048786,8.459617,8.56157,8.074717,7.846711,8.092175,8.836904,9.741925,10.34073,11.35084,14.05343,12.42457,9.750655,9.06005,8.106977,9.960243,7.429654,3.955689,3.250811,2.74907,2.459019
"19",-80.78471,35.2398,7.3446245,7.4384695,9.278491,8.5100855,9.307394,13.261105,11.677145,12.393715,12.2222,12.0942,12.40171,13.198655,14.483045,14.583145,9.4313715,8.970906,9.6621475,9.6102265,9.198324,8.002251,7.341602,6.879332,7.2962975,8.725255,10.957645,12.940695,11.12335,10.78953,9.744997,10.68222,12.587475,12.34751,11.68848,10.540165,9.367824,9.4852385,9.7466155,9.139184,9.7889,12.296085,12.631415,11.28343,9.9032015,10.758105,11.946975,22.952075,13.67165,24.44605,41.01898,27.684695,19.192715,15.91888,15.92746,16.639215,14.388015,14.946065,14.894855,12.41031,8.888262,8.688696,9.639113,11.356645,11.67492,7.051691,4.450434,3.0753165,2.5942655
"20",-80.72993,35.30739,7.054739,7.370599,7.534338,7.358518,7.920498,8.348517,9.82426,10.56913,11.2198,11.82789,12.44783,12.27139,12.47699,12.37833,8.992151,8.485642,8.572397,8.882602,9.331556,8.252907,7.48895,6.840849,6.713773,6.785484,7.500908,9.305243,10.67611,10.11515,9.805077,11.83811,12.83398,11.57111,11.32606,10.25713,9.106869,9.117066,9.402915,8.940498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",-80.71496,35.27768,7.279985,6.955398,7.201833,6.842031,6.98517,7.368196,NA,6.313749,5.959015,6.268341,6.170372,6.793733,7.361838,7.184742,7.355291,8.5164,7.936532,7.49959,8.494501,7.642871,7.329176,6.784453,7.00682,6.97184,8.453451,NA,9.220456,10.18844,9.631967,11.11683,11.17772,10.40974,10.24118,9.082369,8.394255,8.400714,8.665715,7.761556,9.082753,11.75081,11.17919,9.844084,8.7189,9.167705,10.3622,16.12708,13.50402,18.86115,33.32711,26.06087,NA,14.14876,13.43149,14.64596,12.49749,12.60399,12.81464,11.0762,7.563672,7.651539,8.147305,9.950035,10.14255,4.533965,2.624222,1.982891,1.420855
"22",-80.65976,35.43775,7.38331,7.616594,8.410762,8.188662,8.020012,9.01569,8.124654,8.208654,7.791719,8.515516,8.381342,8.633047,11.02908,11.16129,7.527148,7.255369,6.85294,7.405778,7.725418,7.663063,8.305274,8.408567,7.590955,6.976678,6.645961,7.332008,7.755918,8.265546,8.399285,9.225756,10.52298,9.795063,9.681315,9.917668,10.12913,9.418198,9.394095,8.847378,8.704265,10.22573,11.41487,10.77388,9.597835,9.268226,10.32518,11.65845,14.44574,9.270136,8.036838,7.666627,7.764743,7.467211,9.608124,10.53815,9.95402,11.64547,12.05675,11.98902,11.28081,9.156716,7.683986,7.596639,8.531703,5.317681,4.469159,3.868004,3.252267
"23",-80.64454,35.12824,6.386561,6.683442,6.85986,7.187474,8.428349,7.11572,8.952238,12.97934,7.978233,6.893014,7.479189,9.849081,8.31734,7.802097,6.984566,6.816125,7.258379,18.22513,52.37157,18.12172,19.65492,24.50921,11.83517,6.153021,7.18422,8.757454,8.287648,8.544902,9.505923,9.198779,8.798065,9.558303,9.615798,9.136164,9.099633,8.64883,8.216032,7.240459,8.713123,10.59423,10.40761,9.932908,8.776893,9.651328,10.16302,10.23077,32.43462,42.29678,32.6735,26.7085,18.1773,13.4857,11.38072,13.13857,14.0253,14.56038,13.44514,11.61321,8.883277,8.266799,9.330852,11.7976,10.63955,10.44231,4.401692,2.265942,1.581738
"24",-80.22445,36.11095,5.867406,6.103018,6.129633,6.789728,7.245475,7.333573,7.84018,7.864582,8.980516,10.08474,9.780377,10.00656,10.36174,NA,9.264125,7.748645,7.671124,7.418378,7.55887,7.495116,7.25161,7.768421,7.09419,7.745139,10.07361,10.36462,10.6893,10.65177,10.55519,10.17804,9.734816,10.35901,11.31518,11.50028,11.77443,11.75161,11.90252,11.40382,11.0645,11.96652,12.74084,12.40965,11.67103,10.8233,10.40484,10.6326,11.85068,9.719311,9.735894,8.5758,7.612329,7.79588,8.476242,8.880134,9.121653,9.113945,9.489576,10.93294,12.7587,14.49525,14.90593,11.10897,7.556734,6.358622,4.952935,4.707385,4.252608
"25",-80.19765,35.3671,8.154677,9.761508,9.772456,11.44658,11.88275,19.35311,19.06161,15.23728,18.752,18.30387,16.45196,15.54252,18.521,18.23704,12.82603,8.46279,8.460264,8.342059,8.190612,7.615218,8.102091,10.88256,8.95537,8.877777,10.59916,14.65255,13.34478,14.25439,16.38419,18.37765,20.07791,20.00547,18.75456,18.89383,17.62963,16.1759,14.10384,13.1098,9.292857,9.292077,9.984292,10.22289,11.7004,10.56922,9.408564,10.04845,11.31588,21.72723,19.99479,31.33517,35.31888,30.34973,21.58303,14.63702,13.10629,13.56005,14.04695,13.86521,12.46663,11.4912,9.7709,9.536582,10.3192,11.3667,10.51518,5.479454,4.71549
