"","Lon","Lat","Timestamp","bias","std","MSE","Cov","Z"
"324",-82.5844,35.6062,2020-05-05 08:00:00,-3.08682613492701,3.41837532089935,21.2137854218021,1,2
"1254",-80.851473,35.281791,2020-05-05 08:00:00,-2.54420777875713,3.41016564391726,18.1022229404419,1,2
"1964",-80.342,36.026,2020-05-05 08:00:00,1.22775250248083,3.24928511182361,12.0652299452665,1,2
"3614",-78.8197,35.8652,2020-05-05 08:00:00,-1.27234888911505,3.4470875397937,13.5012842026333,1,2
"325",-82.5844,35.6062,2020-05-05 08:00:00,-1.85659406477361,2.11901042325762,7.93714669522702,1,1
"1255",-80.851473,35.281791,2020-05-05 08:00:00,1.51955876398491,2.2346478010589,7.3027096319807,1,1
"1965",-80.342,36.026,2020-05-05 08:00:00,0.764771246123372,1.92313716482712,4.28333161363638,1,1
"3615",-78.8197,35.8652,2020-05-05 08:00:00,-0.144751269348863,2.1842523057157,4.79191106500246,1,1
"33",-82.5844,35.6062,2020-05-05 09:00:00,-5.37996485801426,3.1061168113837,38.5919835194288,1,1000
"126",-80.851473,35.281791,2020-05-05 09:00:00,1.94720577416048,3.09924741150295,13.3969448446317,1,1000
"197",-80.342,36.026,2020-05-05 09:00:00,-0.333604364916643,3.01076221849703,9.17598100862058,1,1000
"362",-78.8197,35.8652,2020-05-05 09:00:00,2.4570800333992,3.34988797847963,17.2589917588914,1,1000
"331",-82.5844,35.6062,2020-05-05 09:00:00,-5.17689508863269,3.15943293491789,36.7822592289531,1,5
"1261",-80.851473,35.281791,2020-05-05 09:00:00,2.12688016805276,3.10207076927082,14.1464623068206,1,5
"1971",-80.342,36.026,2020-05-05 09:00:00,-0.240335691593993,2.92815256272557,8.6318386752503,1,5
"3621",-78.8197,35.8652,2020-05-05 09:00:00,2.48433250518681,3.38951386755161,17.6607122546524,1,5
"332",-82.5844,35.6062,2020-05-05 09:00:00,-5.31301779540671,3.22089922584109,38.6023499173322,1,4
"1262",-80.851473,35.281791,2020-05-05 09:00:00,2.10165476025952,3.19956260298517,14.6541535817427,1,4
"1972",-80.342,36.026,2020-05-05 09:00:00,-0.228458806332447,2.9560019490503,8.79014094898,1,4
"3622",-78.8197,35.8652,2020-05-05 09:00:00,2.51139097171165,3.36662410652404,17.6412424874235,1,4
"333",-82.5844,35.6062,2020-05-05 09:00:00,-5.24176336134679,3.11885919034469,37.2033657855551,1,3
"1263",-80.851473,35.281791,2020-05-05 09:00:00,2.12417410826113,3.01749565575393,13.6173956747008,1,3
"1973",-80.342,36.026,2020-05-05 09:00:00,-0.303800685680586,2.98803437273855,9.02064426928705,1,3
"3623",-78.8197,35.8652,2020-05-05 09:00:00,2.6475479703161,3.46154554406387,18.9918078087533,1,3
"334",-82.5844,35.6062,2020-05-05 09:00:00,-5.28035539492288,2.81303551826139,35.7953219236913,1,2
"1264",-80.851473,35.281791,2020-05-05 09:00:00,3.05870103404737,2.70871288877765,16.6927775295126,1,2
"1974",-80.342,36.026,2020-05-05 09:00:00,0.105186755378562,2.47822925338324,6.15268448583151,1,2
"3624",-78.8197,35.8652,2020-05-05 09:00:00,2.79083305774985,2.92526114778297,16.3459019389579,1,2
"335",-82.5844,35.6062,2020-05-05 09:00:00,-3.8835023947048,2.44620070975309,21.0654887620744,1,1
"1265",-80.851473,35.281791,2020-05-05 09:00:00,3.96087436596838,2.69503142619606,22.9517201311698,1,1
"1975",-80.342,36.026,2020-05-05 09:00:00,-0.399235078448511,2.21969322154134,5.08642664562034,1,1
"3625",-78.8197,35.8652,2020-05-05 09:00:00,-0.122235095474507,2.80494817160128,7.88267566393504,1,1
"34",-82.5844,35.6062,2020-05-05 10:00:00,-2.82886455443796,3.2166167338699,18.3490978799674,1,1000
"127",-80.851473,35.281791,2020-05-05 10:00:00,0.417978795198185,3.04057080586351,9.4197770987048,1,1000
"198",-80.342,36.026,2020-05-05 10:00:00,-0.777538596856102,2.88281589275091,8.9151937410982,1,1000
"363",-78.8197,35.8652,2020-05-05 10:00:00,0.223003923818137,3.216885434527,10.3980826489103,1,1000
"341",-82.5844,35.6062,2020-05-05 10:00:00,-2.65672549766673,3.21835539347393,17.4160018086553,1,5
"1271",-80.851473,35.281791,2020-05-05 10:00:00,0.236995463896283,3.10030550041838,9.66806104583187,1,5
"1981",-80.342,36.026,2020-05-05 10:00:00,-0.817350261697738,3.03399647157195,9.87319603980842,1,5
"3631",-78.8197,35.8652,2020-05-05 10:00:00,0.304904207632994,3.28429150828672,10.8795372872365,1,5
"342",-82.5844,35.6062,2020-05-05 10:00:00,-2.5662538835328,3.24058300037237,17.0870371770496,1,4
"1272",-80.851473,35.281791,2020-05-05 10:00:00,0.281667194594814,3.08636728289054,9.60499941340807,1,4
"1982",-80.342,36.026,2020-05-05 10:00:00,-0.726752202777346,3.1305474964887,10.3284963920134,1,4
"3632",-78.8197,35.8652,2020-05-05 10:00:00,0.265947371214049,3.26638290300422,10.7399852732939,1,4
"343",-82.5844,35.6062,2020-05-05 10:00:00,-2.7769972582914,3.32691746154719,18.7800935685056,1,3
"1273",-80.851473,35.281791,2020-05-05 10:00:00,0.162931840585273,3.2570859966955,10.6351559745464,1,3
"1983",-80.342,36.026,2020-05-05 10:00:00,-0.840363849883598,3.07281674123135,10.1484141253828,1,3
"3633",-78.8197,35.8652,2020-05-05 10:00:00,0.151998977800554,3.44687667130611,11.9040624764467,1,3
"344",-82.5844,35.6062,2020-05-05 10:00:00,-1.20034553720709,2.21489724115685,6.34659919757718,1,2
"1274",-80.851473,35.281791,2020-05-05 10:00:00,2.24884857704719,2.11067553513647,9.51227113711081,1,2
"1984",-80.342,36.026,2020-05-05 10:00:00,-0.453599413964645,2.11348921823821,4.67258910395823,1,2
