"","Lon","Lat","Timestamp","y"
"164",-82.5844,35.6062,2020-01-11 01:00:00,4
"165",-82.5844,35.6062,2020-01-11 02:00:00,2
"166",-82.5844,35.6062,2020-01-11 04:00:00,4.8
"167",-82.5844,35.6062,2020-01-11 10:00:00,0.9
"168",-82.5844,35.6062,2020-01-11 11:00:00,1.9
"169",-82.5844,35.6062,2020-01-11 13:00:00,0.9
"170",-82.5844,35.6062,2020-01-11 15:00:00,2.9
"171",-82.5844,35.6062,2020-01-11 17:00:00,0.9
"172",-82.5844,35.6062,2020-01-11 18:00:00,1.9
"173",-82.5844,35.6062,2020-01-11 19:00:00,2
"174",-82.5844,35.6062,2020-01-11 21:00:00,1.1
"175",-82.5844,35.6062,2020-01-12 01:00:00,2.9
"176",-82.5844,35.6062,2020-01-12 02:00:00,3.9
"177",-82.5844,35.6062,2020-01-12 05:00:00,1.9
"178",-82.5844,35.6062,2020-01-12 06:00:00,2.9
"179",-82.5844,35.6062,2020-01-12 10:00:00,2.9
"180",-82.5844,35.6062,2020-01-12 11:00:00,3.9
"181",-82.5844,35.6062,2020-01-12 12:00:00,4
"182",-82.5844,35.6062,2020-01-12 13:00:00,2
"183",-82.5844,35.6062,2020-01-12 14:00:00,1.9
"184",-82.5844,35.6062,2020-01-12 15:00:00,0.2
"185",-82.5844,35.6062,2020-01-12 16:00:00,1.9
"186",-82.5844,35.6062,2020-01-12 20:00:00,0.9
"187",-82.5844,35.6062,2020-01-12 21:00:00,1
"188",-82.5844,35.6062,2020-01-12 22:00:00,3.9
"189",-82.5844,35.6062,2020-01-12 23:00:00,3
"190",-82.5844,35.6062,2020-01-13 00:00:00,3.9
"191",-82.5844,35.6062,2020-01-13 01:00:00,8.9
"192",-82.5844,35.6062,2020-01-13 02:00:00,3.4
"193",-82.5844,35.6062,2020-01-13 03:00:00,7.9
"194",-82.5844,35.6062,2020-01-13 04:00:00,5
"195",-82.5844,35.6062,2020-01-13 05:00:00,5.9
"196",-82.5844,35.6062,2020-01-13 06:00:00,7.9
"197",-82.5844,35.6062,2020-01-13 07:00:00,6
"198",-82.5844,35.6062,2020-01-13 08:00:00,4
"199",-82.5844,35.6062,2020-01-13 09:00:00,1.9
"200",-82.5844,35.6062,2020-01-13 10:00:00,7.9
"201",-82.5844,35.6062,2020-01-13 11:00:00,10.9
"202",-82.5844,35.6062,2020-01-13 12:00:00,7
"203",-82.5844,35.6062,2020-01-13 13:00:00,9.3
"204",-82.5844,35.6062,2020-01-13 14:00:00,3.9
"205",-82.5844,35.6062,2020-01-13 15:00:00,7.9
"206",-82.5844,35.6062,2020-01-13 16:00:00,5
"207",-82.5844,35.6062,2020-01-13 17:00:00,3
"208",-82.5844,35.6062,2020-01-13 18:00:00,7.9
"209",-82.5844,35.6062,2020-01-13 19:00:00,9.9
"210",-82.5844,35.6062,2020-01-13 20:00:00,11.9
"211",-82.5844,35.6062,2020-01-13 21:00:00,9
"212",-82.5844,35.6062,2020-01-13 22:00:00,8
"213",-82.5844,35.6062,2020-01-13 23:00:00,7
"214",-82.5844,35.6062,2020-01-14 00:00:00,7
"215",-82.5844,35.6062,2020-01-14 01:00:00,7
"216",-82.5844,35.6062,2020-01-14 02:00:00,9.9
"217",-82.5844,35.6062,2020-01-14 03:00:00,5
"218",-82.5844,35.6062,2020-01-14 05:00:00,0.9
"219",-82.5844,35.6062,2020-01-14 07:00:00,2.9
"220",-82.5844,35.6062,2020-01-14 08:00:00,3
"221",-82.5844,35.6062,2020-01-14 10:00:00,1.9
"222",-82.5844,35.6062,2020-01-14 11:00:00,2
"223",-82.5844,35.6062,2020-01-14 12:00:00,1
"224",-82.5844,35.6062,2020-01-14 14:00:00,4.9
"225",-82.5844,35.6062,2020-01-14 15:00:00,3
"226",-82.5844,35.6062,2020-01-14 16:00:00,3
"227",-82.5844,35.6062,2020-01-14 18:00:00,3.9
"228",-82.5844,35.6062,2020-01-14 19:00:00,2
"229",-82.5844,35.6062,2020-01-14 21:00:00,3.9
"230",-82.5844,35.6062,2020-01-14 22:00:00,1.9
"231",-82.5844,35.6062,2020-01-15 03:00:00,0.9
"232",-82.5844,35.6062,2020-01-15 06:00:00,3.2
"233",-82.5844,35.6062,2020-01-15 07:00:00,4.9
"234",-82.5844,35.6062,2020-01-15 08:00:00,3
"235",-82.5844,35.6062,2020-01-15 10:00:00,3.9
"236",-82.5844,35.6062,2020-01-15 12:00:00,2.9
"237",-82.5844,35.6062,2020-01-15 14:00:00,3.9
"238",-82.5844,35.6062,2020-01-15 15:00:00,1
"239",-82.5844,35.6062,2020-01-15 16:00:00,0.9
"240",-82.5844,35.6062,2020-01-15 17:00:00,2
"241",-82.5844,35.6062,2020-01-15 18:00:00,2
"242",-82.5844,35.6062,2020-01-15 19:00:00,1
"243",-82.5844,35.6062,2020-01-15 20:00:00,1.9
"244",-82.5844,35.6062,2020-01-15 22:00:00,0.9
"245",-82.5844,35.6062,2020-01-15 23:00:00,1.9
"246",-82.5844,35.6062,2020-01-16 02:00:00,2.9
"247",-82.5844,35.6062,2020-01-16 03:00:00,2
"248",-82.5844,35.6062,2020-01-16 05:00:00,2.9
"249",-82.5844,35.6062,2020-01-16 07:00:00,3.9
"250",-82.5844,35.6062,2020-01-16 08:00:00,1
"251",-82.5844,35.6062,2020-01-16 09:00:00,1
"252",-82.5844,35.6062,2020-01-16 10:00:00,5.9
"253",-82.5844,35.6062,2020-01-16 11:00:00,4
"254",-82.5844,35.6062,2020-01-16 12:00:00,2
"255",-82.5844,35.6062,2020-01-16 13:00:00,3.9
"256",-82.5844,35.6062,2020-01-16 14:00:00,3
"257",-82.5844,35.6062,2020-01-16 15:00:00,3
"258",-82.5844,35.6062,2020-01-16 22:00:00,2.9
"259",-82.5844,35.6062,2020-01-17 01:00:00,1.9
"260",-82.5844,35.6062,2020-01-17 02:00:00,2
"261",-82.5844,35.6062,2020-01-17 05:00:00,2.9
"262",-82.5844,35.6062,2020-01-17 08:00:00,1
"263",-82.5844,35.6062,2020-01-17 09:00:00,2.9
"264",-82.5844,35.6062,2020-01-17 10:00:00,0.8
"265",-82.5844,35.6062,2020-01-17 11:00:00,1
"266",-82.5844,35.6062,2020-01-17 12:00:00,2
"267",-82.5844,35.6062,2020-01-17 13:00:00,1.2
"268",-82.5844,35.6062,2020-01-17 14:00:00,2.9
"269",-82.5844,35.6062,2020-01-17 15:00:00,5.9
"270",-82.5844,35.6062,2020-01-17 17:00:00,1.9
"271",-82.5844,35.6062,2020-01-17 18:00:00,2.9
"272",-82.5844,35.6062,2020-01-17 19:00:00,3
"273",-82.5844,35.6062,2020-01-17 21:00:00,2.9
"274",-82.5844,35.6062,2020-01-17 22:00:00,2
"275",-82.5844,35.6062,2020-01-17 23:00:00,2.9
"276",-82.5844,35.6062,2020-01-18 00:00:00,3
"277",-82.5844,35.6062,2020-01-18 01:00:00,3
"278",-82.5844,35.6062,2020-01-18 02:00:00,3.9
"279",-82.5844,35.6062,2020-01-18 03:00:00,7.9
"280",-82.5844,35.6062,2020-01-18 04:00:00,5.9
"281",-82.5844,35.6062,2020-01-18 05:00:00,5
"282",-82.5844,35.6062,2020-01-18 06:00:00,1
"283",-82.5844,35.6062,2020-01-18 07:00:00,1.9
"284",-82.5844,35.6062,2020-01-18 08:00:00,5.9
"285",-82.5844,35.6062,2020-01-18 09:00:00,8.9
"286",-82.5844,35.6062,2020-01-18 10:00:00,2
"287",-82.5844,35.6062,2020-01-18 11:00:00,5.9
"288",-82.5844,35.6062,2020-01-18 12:00:00,4
"289",-82.5844,35.6062,2020-01-18 13:00:00,1
"290",-82.5844,35.6062,2020-01-18 14:00:00,2.9
"291",-82.5844,35.6062,2020-01-18 16:00:00,2.9
"292",-82.5844,35.6062,2020-01-18 17:00:00,2
"293",-82.5844,35.6062,2020-01-18 20:00:00,0.9
"294",-82.5844,35.6062,2020-01-18 21:00:00,3.9
"295",-82.5844,35.6062,2020-01-18 22:00:00,4
"296",-82.5844,35.6062,2020-01-18 23:00:00,2
"297",-82.5844,35.6062,2020-01-19 00:00:00,5.9
"298",-82.5844,35.6062,2020-01-19 01:00:00,8.9
"299",-82.5844,35.6062,2020-01-19 02:00:00,5
"300",-82.5844,35.6062,2020-01-19 03:00:00,2
"301",-82.5844,35.6062,2020-01-19 04:00:00,3.9
"302",-82.5844,35.6062,2020-01-19 05:00:00,1
"303",-82.5844,35.6062,2020-01-19 06:00:00,1.9
"304",-82.5844,35.6062,2020-01-19 07:00:00,1
"305",-82.5844,35.6062,2020-01-19 11:00:00,1.9
"306",-82.5844,35.6062,2020-01-19 13:00:00,0.9
"307",-82.5844,35.6062,2020-01-19 15:00:00,4.9
"308",-82.5844,35.6062,2020-01-19 16:00:00,1
"309",-82.5844,35.6062,2020-01-19 17:00:00,1
"310",-82.5844,35.6062,2020-01-19 22:00:00,1
"311",-82.5844,35.6062,2020-01-19 23:00:00,2.9
"312",-82.5844,35.6062,2020-01-20 01:00:00,2.9
"313",-82.5844,35.6062,2020-01-20 02:00:00,3
"314",-82.5844,35.6062,2020-01-20 03:00:00,3.9
"315",-82.5844,35.6062,2020-01-20 04:00:00,2.3
"316",-82.5844,35.6062,2020-01-20 05:00:00,3.9
"317",-82.5844,35.6062,2020-01-20 06:00:00,2
"318",-82.5844,35.6062,2020-01-20 07:00:00,3.9
"319",-82.5844,35.6062,2020-01-20 09:00:00,4.9
"320",-82.5844,35.6062,2020-01-20 10:00:00,2
"321",-82.5844,35.6062,2020-01-20 13:00:00,1
"322",-82.5844,35.6062,2020-01-20 14:00:00,1
"323",-82.5844,35.6062,2020-01-20 16:00:00,0.9
"324",-82.5844,35.6062,2020-01-20 17:00:00,2.9
"325",-82.5844,35.6062,2020-01-20 18:00:00,4.9
"326",-82.5844,35.6062,2020-01-20 19:00:00,3
"327",-82.5844,35.6062,2020-01-20 20:00:00,2
"328",-82.5844,35.6062,2020-01-20 21:00:00,3.9
"329",-82.5844,35.6062,2020-01-20 22:00:00,5.9
"330",-82.5844,35.6062,2020-01-20 23:00:00,4
"331",-82.5844,35.6062,2020-01-21 00:00:00,6.9
"332",-82.5844,35.6062,2020-01-21 01:00:00,4
